	SRR1450106	SRR1450107	SRR1450108	SRR1450109	SRR1450110	SRR1450111	SRR1450112	SRR1450113	SRR1450114	SRR1450115	SRR1450116	SRR1450117	SRR1450118	SRR1450119	SRR1450120	SRR1450121	SRR1450122	SRR1450123
Blon_1336	79.7231341846341	76.7873623029836	52.4628928466263	45.8725821271542	105.471929981586	120.669411353622	162.209166120303	143.777585102306	86.8507670039072	0	109.215481802069	101.188176255649	70.8150507830389	0	110.631621840819	107.111343537908	106.923503019205	78.7519686904943
Blon_1337	62.1371487027296	71.3987754747041	53.1815626116486	62.0629052308556	92.9583111702116	134.077123726247	125.72613567802	140.418295730756	82.5794178069937	96.7246034154417	83.7481945657118	96.8124713364857	79.9680165305065	119.858236179633	146.245911063549	140.06868001111	133.654378774006	127.881637231353
Blon_1338	65.6543457991105	52.5387215757256	54.6189021416932	67.4596795987561	92.0644812551134	111.586767488296	110.571646109687	130.340427616109	88.7491444247576	0	100.889637897875	95.1715819917995	76.1141362157833	119.858236179633	153.065668574284	134.252679457016	149.953693258641	125.714151854551
Blon_1339	83.2403312810151	66.0101886464245	84.0843625076066	79.6024219265322	110.834909472175	157.865000516387	140.880625246353	162.589605582981	94.4442766873089	0	86.1969721845923	98.4533606811719	105.018238576207	119.858236179633	119.724631855133	147.82334741657	202.763472188858	234.08842069468
Blon_1340	13.4825888694602	13.4714670706989	11.4987162403565	8.76975834783829	15.1951085566692	20.3278219843019	10.1029930455552	13.4371574861968	14.7124250115908	0	13.7131546657306	15.8619303319666	14.9337862195524	0	14.397265855997	25.2026690677431	7.17169837323934	20.2298635168242
Blon_1341	24.0341801586029	13.4714670706989	6.46802788520051	8.09516155185073	21.8988329199056	20.7603288350318	11.2255478283947	17.4683047320558	24.204312115843	0	18.1209543797154	13.1271147574896	9.63470078680802	0	16.6705183595755	11.6320011081891	8.47564353201012	9.39243663281125
Blon_1342	28.1375767710473	30.9843742626074	12.936055770401	8.09516155185073	40.2223461794185	34.6005480583863	67.9145643617877	54.420487819097	32.7470105096699	0	35.2623977118786	26.8011926298746	22.6415468489988	0	25.7635283738895	31.98800304752	16.9512870640202	27.4548147728329
Blon_1343	1.75859854819046	2.02072006060483	5.74935812017823	4.04758077592537	8.0444692358837	5.62258905948777	9.54171565413546	9.40601024033775	5.22053790733868	0	5.38731076153702	4.9226680340586	9.15296574746762	0	16.6705183595755	12.1166678210303	3.25986289692697	0.722495125600865
Blon_1344	10.5515912891428	8.75645359595427	7.90536741524507	4.04758077592537	17.4296833444147	16.8677671784633	16.2770443511722	6.04672086878856	10.4410758146774	0	4.89755523776092	7.65748360853559	16.860726376914	0	16.6705183595755	27.6260026319491	13.0394515877079	11.5599220096138
Blon_1345	4.68959612850789	5.38858682827955	2.15600929506684	2.02379038796268	6.70372436323641	4.75757535802811	4.49021913135786	2.68743149723936	2.84756613127565	0	2.44877761888046	5.469631148954	5.29908543274441	0	14.397265855997	15.0246680980776	7.82367095262473	5.05746587920606
Blon_1346	30.4823748353013	43.1086946262364	24.4347720107575	28.3330654314776	49.1606453304004	34.6005480583863	31.9928113109248	24.1868834751542	25.6280951814808	0	27.9160648552373	34.4586762384102	25.5319570850412	0	35.6142892227295	41.1966705915031	21.515095119718	38.2922416568459
Blon_1347	5.86199516063486	0	6.46802788520051	3.37298397993781	8.0444692358837	2.59504110437897	2.80638695709866	2.68743149723936	3.79675484170086	0	3.91804419020874	2.734815574477	5.78082047208481	0	10.6085116833662	22.779335503537	1.30394515877079	7.94744638160952
Blon_1348	36.3443699959362	30.9843742626074	33.7774789560471	28.3330654314776	46.0322406275567	21.1928356857616	30.8702565280853	18.8120204806755	17.5599911428665	0	9.79511047552185	17.5028196766528	38.0570681078917	0	38.6452925608342	52.8286716996922	23.4710128578742	24.5648342704294
Blon_1349	24.0341801586029	24.248640727258	14.3733953004456	16.1903231037015	21.8988329199056	19.0303014321125	22.4510956567893	18.1401626063657	16.1362080772287	0	18.6107099034915	16.9558565617574	31.3127775571261	0	39.4030433953603	79.9700076188001	15.6473419052495	28.8998050240346
Blon_1350	663.577852183867	435.801959737109	185.416799375748	182.141134916642	385.240693407319	319.622562689343	385.597567905356	301.664185565118	271.467971181612	96.7246034154417	270.345049124403	241.210733668871	391.168851944406	359.574708538898	334.925868860563	379.978702867511	462.90053136363	735.500037861681
Blon_1351	493.579992525456	299.74014232305	63.9616090869828	76.904034742582	225.245138604743	174.300260844121	248.084607007522	182.745341812276	135.733985590806	96.7246034154417	137.131546657306	127.989368885524	215.8172976245	119.858236179633	282.641061278258	284.984027150633	421.82625886235	613.398361635135
Blon_1352	47.4821608011424	42.4351212727015	33.0588091910248	29.6822590234527	53.6297949058913	41.9531645207934	61.7405130561706	78.6073712942512	56.0021339150877	0	54.3628631391462	57.9780901789124	43.8378885799765	0	71.2285784454591	55.7366719767394	52.8097789302169	41.1822221592493
Blon_1353	407.994863180187	381.242518100778	321.964054729981	296.147993438539	357.978880996825	382.768562895898	419.27421139054	428.645323809678	384.421427722212	193.449206830883	428.536083304081	398.736110758746	454.276142097998	119.858236179633	681.975751073544	658.662062751208	609.594361725344	498.521636664597
Blon_1354	195.790638365204	141.450404242338	102.769776398186	127.498794441649	154.185660354438	173.435247142661	140.319347854933	167.96446857746	151.870193668034	483.623017077208	125.867169610456	116.50314347272	137.776221251355	359.574708538898	131.090894373026	112.442677379161	117.355064289371	148.833995873778
Blon_1355	15.8273869337141	10.1036003030242	8.62403718026735	8.76975834783829	13.4074487264728	12.542698671165	17.3995991340117	8.73415236602791	7.11891532818912	0	11.2643770468501	7.11052049364019	2.408675196702	0	10.6085116833662	6.78533397977698	4.56380805569776	2.88998050240346
Blon_1356	259.686385616124	257.305021050349	190.447487730904	185.514118896579	337.867707907115	237.878767901406	283.445082666965	295.617464696329	195.058279992382	193.449206830883	172.883699892961	168.464639387783	106.463443694229	0	103.811864330084	100.326009558131	75.6288192087057	88.1444053233055
Blon_1357	92.0333240219674	98.3417096161018	92.708399687874	90.3959706623332	46.0322406275567	44.9807124759022	51.0762426191957	40.3114724585904	78.3080686100803	0	58.7706628531311	57.9780901789124	411.883458636043	119.858236179633	180.344698617226	190.474018146597	258.181141436616	330.180272399595
Blon_1358	543.993150906915	462.071320524972	498.038147160439	478.289128355181	288.707062576715	242.203836408704	332.837493111901	293.6018910734	442.32193905815	0	423.148772542544	424.990340273726	1120.03396646643	119.858236179633	813.824396281096	760.442072447862	1015.12130610306	1405.25301929368
Blon_1359	215.1352223953	195.336272525134	240.035701517441	237.458072187622	110.387994514626	120.236904502892	113.939310458206	113.543980758363	320.825784123723	96.7246034154417	222.838763318122	237.381991864603	396.94967241649	0	294.765074630676	294.192694694616	385.315794416768	530.311422191035
Blon_1360	1450.25760274107	1264.97075793862	971.641522310121	1058.44237290448	1388.56477310504	1357.2064975902	1414.41902637773	1313.48214427574	1814.3742199778	677.072223908092	1509.42652427792	1571.42502909448	1637.89913375736	239.716472359265	1060.85116833662	1012.95342983813	1274.60639269845	1382.85567040006
Blon_1361	723.370202822342	635.179672383452	719.388434787301	663.80324725176	585.458594389313	762.509577836688	614.037466213187	581.828919152321	1243.43721065703	1063.97063756986	1019.18124497805	1114.71082815682	1204.337598351	1438.29883415559	927.48702146002	760.442072447862	1109.00535753456	993.43079770119
Blon_1362	393.926074794663	387.304678282593	497.319477395417	495.828645050857	298.539191642795	363.738261463786	341.817931374617	372.209262367651	762.198534471448	96.7246034154417	304.138180264953	377.404549277826	384.42456139364	0	359.1738955654	314.064029921106	400.311163742632	399.539804457278
Blon_1363	225.686813684442	183.88552551504	232.849003867218	263.767347231136	147.481935991201	192.033041724044	188.02792612561	206.932225287431	370.183597065834	0	268.386027029299	225.8957664518	208.591272034394	239.716472359265	142.457156890918	139.584013298269	230.146320523044	201.576140042641
Blon_1364	232.135008361141	197.356992585739	327.713412850159	387.893157692848	217.647584326409	246.528904916002	239.104168744806	243.884408374472	336.961992200951	0	248.795806078255	236.288065634813	350.221373600471	0	232.629506199531	225.854688184005	294.691605882198	290.443040491548
Blon_1365	848.230699743865	793.469410464164	996.794964085901	1009.19680679739	686.461374795409	669.088098079045	722.364002757196	753.82453497564	869.456858749497	483.623017077208	811.035147373209	814.975041194145	1173.50655583322	239.716472359265	999.473350740005	935.891422496381	1316.33263777911	1404.53052416808
Blon_1366	631.923078316438	594.765271171356	988.170926905633	968.720999038138	564.453591384506	537.606015457177	546.1229018514	569.063619540434	539.139187521522	1257.41984440074	610.235382625011	622.444024750965	1070.89699245371	2397.16472359265	1000.98885240906	1073.05210223044	1198.32560091035	977.53590493797
Blon_1367	219.238619007744	167.046191676666	369.396259221451	321.782671686067	94.745971000408	121.966931905812	112.816755675366	135.043432736278	100.614003305073	0	116.56181465871	124.160627081256	319.872066122026	359.574708538898	273.548051263944	276.744693032332	306.427112311135	288.275555114745
Blon_1368	805.43813507123	716.68204816118	1011.16835938635	1009.87140359338	557.74986702127	510.358083861198	489.995162709427	492.471821869112	635.956435984894	386.898413661767	538.731076153702	562.278082112471	1020.31481332297	599.291180898164	721.378794468905	711.975401163741	878.207064432126	942.133643783528
Blon_1369	694.060227019168	662.796179878385	749.572564918237	700.906071031076	527.359649907931	543.228604516665	561.838668811152	601.312797507306	536.766215745459	9575.73573812873	563.708607866282	571.576455065693	559.776115713546	6951.7776984187	465.259012399062	469.642044743135	486.371544221504	482.626743901378
Blon_1370	159.446268369268	181.1912321009	158.826018069924	152.458875893189	190.832686873463	178.192822500689	184.098984385672	198.869930795712	96.3426541081594	290.173810246325	194.432942939109	228.083618911382	106.463443694229	479.432944718531	216.716738674482	262.689358359937	201.459527030087	156.781442255388
Blon_1371	391.581276730409	344.195983656356	396.705710292298	402.059690408586	294.070042067304	331.300247659049	258.187600053077	256.649707986359	268.145810695123	1450.86905123163	282.099181695029	376.85758616293	214.372092506478	958.865889437062	375.086663090449	441.531375398345	368.364507352748	333.7927480276
Blon_1372	290.168760451426	229.688513555416	270.219831648377	267.814928007062	304.796001048482	230.093644588269	245.839497441843	214.322661904839	319.402001058085	386.898413661767	293.853314265655	306.299344341424	306.383485020495	958.865889437062	184.133452789857	159.455348524759	209.283197982712	280.328108733136
Blon_1373	254.996789487617	208.807739595833	190.447487730904	203.728232388243	328.482493798584	361.143220359407	368.759246162764	331.225932034751	373.505757552322	193.449206830883	297.771358455864	340.758020579834	184.504520067374	119.858236179633	215.20123700543	208.891353234563	164.297090005119	223.250993810667
Blon_1374	310.099543997584	323.315209696773	298.247952484246	306.266945378353	292.282382237108	204.143233544479	189.15048090845	151.168021719714	153.768571088885	193.449206830883	172.393944369185	172.293381192051	154.155212588928	119.858236179633	102.296362661032	110.504010527796	121.266899765683	135.829083612963
Blon_1375	28.7237762871108	27.6165074949327	22.2787627156906	14.8411295117263	36.2001115614766	20.7603288350318	23.012373048209	16.1245889834361	24.6789064710556	0	24.4877761888046	25.1603032851884	16.860726376914	0	27.2790300429418	30.0493361961552	18.255232222791	26.732319647232
Blon_1376	49.8269588653963	46.4765613939111	36.6521580161362	31.0314526154278	39.3285162643203	29.8429727003582	17.3995991340117	23.5150256008444	37.9675484170086	96.7246034154417	47.506285806281	49.226680340586	24.5684870063604	0	43.9495484025173	68.8226732234522	31.9466563898843	23.8423391448285
Blon_1377	24.0341801586029	26.9429341413978	20.1227534206238	23.6108878595646	33.5186218161821	22.4903562379511	31.9928113109248	22.8431677265345	13.288641945953	0	27.4263093314612	34.4586762384102	19.7511366129564	0	17.4282691941017	31.5033363346788	17.6032596434056	19.5073683912234
Blon_1378	600.26830444901	630.464658908708	592.90255614338	536.304452810111	872.824912093381	741.316742150926	867.734847134907	771.964697582006	868.982264394285	193.449206830883	588.196384055087	624.084914095651	898.435848369848	119.858236179633	505.419806628949	475.458045297229	644.14890843277	891.558984991468
Blon_1379	422.06365156571	476.216360949205	386.644333581986	416.226223124325	372.727074595945	297.997220152852	353.604756594432	395.724287968495	508.765148787915	3288.63651612502	522.569143869091	539.305631286864	879.166446796232	2397.16472359265	498.600049118214	454.617376645057	781.063150103702	738.390018364084
Blon_1380	1439.70601145192	1430.66980290822	1191.55447040694	1193.361732102	1056.50695964606	954.975126411461	845.845028869537	844.525348007468	1424.25765999304	386.898413661767	1706.30824483591	1724.0277381503	2683.26416912603	359.574708538898	1462.45911063549	1474.84080717581	2092.83197982712	3353.82237303922
Blon_1381	39.2753675762536	21.5543473131182	30.902799895958	30.3568558194403	25.9210675378475	33.7355343569266	20.7672634825301	23.5150256008444	28.9502556679691	0	29.8750869503416	30.082971319247	45.7648287373381	0	21.2170233667325	35.3806700374085	27.3828483341866	42.627212410451
Blon_1383	587.371915095613	602.848151413775	1525.7359111423	1575.18351863096	1273.26071405737	1366.72164830626	955.855397587805	1149.54882294414	802.064460309307	2708.28889563237	2322.91044927001	1900.14986114662	7536.74469048057	2996.45590449082	6318.12645827913	6304.54460063849	8388.93117895187	3546.00607644905
Blon_1384	154.170472724697	144.144697656478	130.797897234055	122.776616869736	339.655367737312	140.997233337924	350.237092245913	236.493971757064	131.937230749105	96.7246034154417	407.966351305485	375.216696818244	843.999788924382	119.858236179633	742.595817835637	841.381413492345	1225.70844924454	1244.13660628469
